Age,Gender,Weight (kg),Height (m),Session_Duration (hours),Calories_Burned,Workout_Type
56,Male,88.3,1.71,1.69,1313,Yoga
46,Female,74.9,1.53,1.3,883,HIIT
32,Female,68.1,1.66,1.11,677,Cardio
25,Male,53.2,1.7,0.59,532,Strength
38,Male,46.1,1.79,0.64,556,Strength
56,Female,58,1.68,1.59,1116,HIIT
36,Male,70.3,1.72,1.49,1385,Cardio
40,Female,69.7,1.51,1.27,895,Cardio
28,Male,121.7,1.94,1.03,719,Strength
28,Male,101.8,1.84,1.08,808,Cardio
41,Male,120.8,1.67,0.82,593,HIIT
53,Male,51.7,1.7,1.15,865,HIIT
57,Male,112.5,1.61,1.24,1013,Cardio
41,Male,94.5,2,1.18,794,HIIT
20,Male,117.7,1.81,1.35,1195,Yoga
39,Female,42.5,1.75,1.13,740,Strength
19,Female,64,1.53,1.33,1111,HIIT
41,Female,43.8,1.77,1.19,884,Cardio
47,Female,66.8,1.75,1.13,742,Strength
55,Female,75.2,1.67,1.37,1030,HIIT
19,Male,89,1.77,1.5,1048,Strength
38,Male,71.9,1.77,1.12,875,Cardio
50,Female,71,1.68,1.17,848,Yoga
29,Male,120.9,1.78,0.78,721,Yoga
39,Female,64.3,1.69,1.25,925,HIIT
42,Female,63.7,1.71,1.42,1080,Yoga
44,Male,65.2,1.8,0.73,502,HIIT
59,Male,53.9,1.75,1.48,989,Strength
45,Male,84.9,1.86,1.64,1104,HIIT
33,Female,78,1.68,1.29,871,HIIT
32,Male,108.2,1.8,1.27,964,HIIT
20,Female,65.4,1.52,1.03,654,Yoga
54,Female,50.2,1.61,1.48,1046,HIIT
24,Female,58.9,1.51,1.04,816,Cardio
38,Male,81.4,1.71,1.52,1237,HIIT
26,Male,127.6,1.73,1.32,1162,Strength
56,Female,59.3,1.56,1.26,879,Cardio
35,Male,96.9,1.71,1.34,1069,Strength
21,Male,62.6,1.81,1.3,1072,Strength
42,Male,45.5,1.6,1.31,1057,Strength
31,Female,48.8,1.51,1.48,969,Cardio
26,Female,44.3,1.6,1.08,734,Cardio
43,Male,113.2,1.83,1.45,962,Yoga
19,Female,60.5,1.59,1.14,730,Cardio
37,Male,124.2,1.76,1.5,1304,HIIT
45,Male,52.4,1.85,1.2,956,Strength
24,Male,54.7,1.74,0.84,772,Yoga
25,Male,88.1,1.95,1.41,1016,Cardio
52,Female,59.7,1.71,1.23,836,Strength
31,Female,79.7,1.54,1.03,742,Cardio
34,Female,51,1.62,1.42,1122,Yoga
53,Male,84.2,1.76,1.67,1133,Cardio
57,Male,122.1,1.89,1.13,750,Cardio
21,Male,96.7,1.72,1.26,1046,Strength
19,Female,73,1.79,0.81,506,HIIT
23,Male,114.8,1.6,1.47,1318,Cardio
59,Female,65.5,1.52,1.4,1021,Yoga
21,Female,50.3,1.52,1.08,832,Cardio
46,Female,61,1.71,1.67,1150,Cardio
35,Female,44.6,1.62,0.56,440,HIIT
43,Female,58.2,1.61,1.04,580,Strength
51,Female,44.8,1.63,1.08,666,Yoga
27,Male,87.5,1.63,1.75,1299,Strength
53,Male,51.8,1.74,1.23,773,Strength
31,Female,64.4,1.7,1.97,1418,Strength
48,Female,67.1,1.61,0.62,421,Cardio
32,Male,85.9,1.6,1.99,1587,HIIT
25,Female,65.4,1.77,0.89,627,Cardio
31,Female,61.1,1.76,1.81,1358,Yoga
40,Male,106.5,1.65,1.32,1176,HIIT
57,Female,64,1.52,1.73,1004,Strength
38,Female,61.4,1.54,1.47,963,HIIT
33,Female,40.5,1.63,1.07,786,Yoga
35,Male,70.1,1.79,1.08,743,Cardio
41,Male,94.1,1.62,1.13,777,Cardio
43,Male,55.5,1.82,1.08,663,Strength
42,Female,53.7,1.72,1.37,875,Cardio
58,Female,66.1,1.75,0.63,363,Cardio
46,Male,103.9,1.77,1.18,864,Yoga
32,Female,61.7,1.58,1.87,1262,HIIT
18,Female,52.3,1.74,1.2,990,Cardio
42,Female,59.5,1.74,1.78,1129,Yoga
24,Female,72.9,1.76,0.86,546,Yoga
26,Female,76.7,1.63,1.08,751,Strength
41,Male,72.1,1.83,1.13,744,Yoga
18,Female,54.8,1.68,1.27,1003,Strength
25,Male,105,1.88,1.34,1150,Cardio
41,Female,55,1.55,1.45,1103,Strength
28,Male,81.6,1.66,1.09,917,Yoga
34,Female,75.6,1.6,0.64,416,HIIT
25,Male,81.5,1.61,1.93,1688,HIIT
52,Female,61.5,1.69,1.8,1231,Cardio
52,Male,74,1.63,1.26,936,Cardio
50,Female,56.4,1.59,1.26,924,HIIT
22,Male,102.6,1.84,1.25,1052,Strength
59,Female,54.6,1.57,0.58,441,Cardio
56,Male,129,1.78,1.29,805,Yoga
58,Male,103.5,1.66,1.33,1106,Cardio
45,Female,59.4,1.51,1.15,735,Strength
24,Female,60.1,1.79,1.97,1625,Cardio
26,Male,77.7,1.62,1.16,804,Yoga
25,Female,41.2,1.62,1.49,1073,Yoga
29,Male,58.6,1.61,1.2,805,Yoga
51,Male,109.3,1.78,0.54,420,Strength
50,Male,69.6,1.96,0.97,667,Strength
40,Female,56.2,1.79,1.79,1369,Yoga
41,Male,71.7,1.96,0.51,424,Yoga
54,Male,86,1.93,1.74,1404,Strength
52,Female,79.4,1.59,1.39,1020,Strength
57,Female,78.4,1.62,1.01,677,Strength
39,Female,55.4,1.6,1.44,979,HIIT
44,Female,61.7,1.55,1.41,819,Strength
52,Male,85.5,1.82,1.78,1357,Yoga
18,Male,87.6,1.93,1.72,1315,HIIT
52,Male,82.4,1.72,1.01,685,Strength
54,Male,67,1.68,0.55,446,Yoga
31,Female,42.3,1.6,1.09,888,Cardio
20,Male,82.7,1.99,1.69,1357,HIIT
18,Male,92.4,1.74,1.41,1303,Yoga
22,Female,63.2,1.54,1.02,790,Cardio
43,Male,82.7,1.85,1.22,858,Yoga
31,Male,86.6,1.76,1.29,1071,Strength
56,Male,129.5,1.95,1,639,Strength
44,Male,98,1.83,1.28,824,Cardio
26,Male,86.2,1.68,1.97,1701,Strength
32,Male,78.6,1.62,1.28,880,Yoga
32,Female,59,1.66,0.51,408,Cardio
43,Female,57.3,1.79,1.98,1479,Yoga
59,Male,122.3,1.89,0.66,500,Yoga
30,Male,85.3,1.95,1.61,1373,Yoga
49,Female,45.2,1.74,1.24,870,Strength
56,Male,55.6,1.92,0.68,458,Strength
49,Male,82.8,1.95,1.91,1503,Yoga
21,Male,125.2,1.66,1.38,1207,HIIT
47,Female,58.5,1.79,1.42,837,Yoga
54,Male,86.1,1.95,1.17,811,Yoga
40,Female,63.5,1.61,1.31,1041,Cardio
56,Male,69.3,1.68,0.66,451,Yoga
32,Female,70.5,1.62,1.24,756,Strength
46,Female,60.1,1.65,1.69,1042,Cardio
53,Male,94.1,1.95,0.89,608,HIIT
30,Female,79.2,1.62,1.26,1046,Cardio
49,Male,115.3,1.91,1.38,854,HIIT
24,Female,62.9,1.79,1.42,958,Cardio
39,Male,62,1.64,0.97,678,Cardio
45,Male,88.5,1.78,1.53,1265,HIIT
19,Female,73.9,1.77,1.28,877,Strength
59,Male,50.3,1.95,1.07,885,Strength
23,Male,83.1,1.8,0.7,624,Strength
45,Female,65.1,1.78,1.46,1038,Cardio
45,Male,46.6,1.79,1.46,1214,Yoga
37,Male,103.5,1.89,0.54,499,Cardio
47,Female,61.9,1.54,1.95,1150,Yoga
28,Female,52,1.61,1.32,1082,Yoga
45,Male,113.4,1.71,0.83,530,Strength
42,Male,62.9,1.98,1.42,886,Yoga
56,Female,40.4,1.8,1.23,913,Cardio
50,Female,67.1,1.75,0.67,362,Cardio
18,Male,70,1.61,1.3,1201,Strength
44,Female,69.5,1.75,1.02,711,HIIT
30,Male,107.9,1.66,1.08,832,Cardio
58,Male,109,1.91,1.49,1151,Yoga
20,Male,101,1.91,1.36,1070,Cardio
56,Male,88.5,1.85,1.57,1119,Cardio
23,Male,80.9,1.8,1.55,1074,Cardio
25,Female,43.1,1.62,1.04,837,HIIT
44,Female,59.1,1.52,1.58,967,Yoga
26,Female,54,1.53,1.14,844,Strength
54,Female,72.3,1.78,1.27,852,Cardio
50,Male,51.1,1.98,0.92,574,Yoga
59,Male,89.4,1.72,1.08,813,Yoga
41,Male,51.5,1.8,1.09,680,Strength
32,Male,87.9,1.88,1.52,1195,Cardio
49,Female,42,1.52,1.1,644,HIIT
49,Male,79.2,1.72,1.46,925,Yoga
41,Male,64.8,1.71,1.2,778,Strength
58,Female,63,1.78,1.58,1095,HIIT
29,Female,56.2,1.77,0.68,418,Yoga
56,Female,52.9,1.64,1.1,767,Cardio
19,Female,49,1.69,1.05,772,Yoga
20,Male,128.2,1.84,0.83,603,HIIT
54,Male,83.6,1.86,1.54,1082,HIIT
34,Female,56.2,1.77,1.81,1249,Cardio
19,Male,87.8,1.78,1.28,1133,Cardio
19,Male,85.9,1.85,1.66,1424,Strength
45,Male,51.1,1.87,1.44,1126,Cardio
40,Female,57.4,1.71,1.87,1337,Strength
54,Male,114.9,1.92,1.2,802,HIIT
49,Female,62.1,1.66,1.37,937,HIIT
50,Male,57.1,1.91,1.09,707,Yoga
18,Male,68.1,1.8,1.1,926,Yoga
36,Male,69.2,1.65,1.23,852,Strength
19,Female,65.2,1.52,1.23,800,Cardio
43,Male,108.6,1.73,1.33,988,Cardio
49,Female,40,1.65,1.03,686,Yoga
23,Female,41.9,1.58,0.56,370,HIIT
49,Female,68.3,1.52,1.45,979,Strength
21,Male,88.4,1.6,1.71,1138,HIIT
28,Male,66,1.9,1.18,1025,HIIT
34,Male,71.9,1.64,1.26,929,Cardio
55,Male,75.6,1.71,1.03,663,Strength
41,Female,63.4,1.59,1.84,1267,HIIT
22,Female,71.6,1.77,1.49,1177,Yoga
51,Female,57.4,1.77,1.08,598,Yoga
23,Male,83.8,1.99,1.79,1280,Cardio
39,Female,55.9,1.71,1.95,1443,Yoga
28,Male,87,1.76,1.2,799,Yoga
33,Female,65.3,1.71,1.18,796,HIIT
50,Male,45.4,1.67,1.37,1071,Yoga
26,Male,87.1,1.87,1.71,1241,Yoga
23,Female,78.6,1.73,1.47,1147,HIIT
33,Female,78,1.71,1.08,734,Cardio
46,Female,58,1.53,1.83,1153,Cardio
20,Female,71.3,1.69,1.28,1043,Strength
37,Male,49.1,1.74,1.11,842,Yoga
53,Female,78.3,1.65,1.24,703,HIIT
36,Female,57.3,1.64,1.13,887,Strength
43,Female,48.4,1.61,1.28,732,Cardio
20,Male,76.4,1.62,1.35,980,Cardio
36,Male,110.2,1.77,1.19,1021,HIIT
37,Female,72.9,1.76,1.21,732,Strength
49,Male,82.1,1.86,1.87,1481,Strength
24,Female,58.9,1.76,0.63,410,HIIT
58,Male,82.2,1.87,1.57,1111,HIIT
50,Male,96.7,1.72,1.46,903,Strength
57,Male,81.4,1.86,1.8,1292,Cardio
56,Male,107.8,1.73,1.09,680,Yoga
35,Female,65.8,1.62,1,790,Cardio
57,Female,68.5,1.56,1.45,900,HIIT
18,Female,63.9,1.59,1.87,1169,Strength
28,Male,76.3,1.62,1.16,1034,Strength
45,Female,44.5,1.65,1.44,959,Yoga
42,Female,50.7,1.75,1.29,940,Strength
40,Female,55.1,1.61,1.55,1224,Yoga
48,Male,73.7,1.61,1.36,815,Cardio
47,Male,55.6,1.77,1.2,820,Cardio
59,Male,86.9,1.76,1.13,688,Strength
52,Female,60.3,1.68,1.6,900,Strength
24,Female,40.4,1.64,0.99,832,HIIT
33,Female,78.5,1.66,1.29,1006,HIIT
43,Male,102.6,1.72,0.82,597,Strength
19,Male,110.8,1.91,1.31,1074,Strength
18,Female,60.9,1.79,1.11,699,Cardio
29,Male,55.7,1.61,1.41,993,Strength
22,Male,110.5,1.92,1.16,919,HIIT
54,Male,55.2,1.71,0.77,579,Cardio
49,Male,46.5,1.72,1.4,832,Yoga
26,Female,70.9,1.66,0.81,506,HIIT
58,Male,74.6,1.75,1.09,739,HIIT
52,Male,45.1,1.72,0.93,594,Cardio
36,Male,99.9,1.99,1.33,1075,Yoga
33,Male,117,1.61,1.04,744,HIIT
20,Female,75.9,1.73,1.39,1056,Strength
37,Female,71.2,1.64,1.11,666,HIIT
41,Male,78.8,1.72,1.01,660,Cardio
50,Male,50.6,1.69,1.31,1012,Cardio
41,Male,82.5,1.79,1.69,1163,Cardio
28,Male,108.5,1.79,1.33,878,HIIT
25,Male,49.9,1.98,1.15,772,Yoga
53,Male,125.1,1.91,0.52,353,Strength
55,Female,79.7,1.66,1.06,763,Cardio
57,Male,126.8,1.63,0.96,632,Yoga
37,Female,54.6,1.57,1.31,982,Strength
52,Female,47.8,1.54,1.34,880,Cardio
42,Male,97.9,1.91,1.01,680,Strength
52,Female,63.1,1.54,1.36,1010,Strength
42,Female,72.4,1.69,1.07,713,Yoga
46,Female,58.9,1.7,1.52,1060,Strength
35,Female,50.4,1.6,1.03,803,Cardio
35,Female,64.2,1.59,1.63,1182,Yoga
19,Female,58.8,1.77,1.4,952,HIIT
52,Male,105.2,1.62,1.36,949,HIIT
33,Female,45.9,1.5,0.92,662,Yoga
58,Female,65.2,1.63,1.12,610,HIIT
53,Female,56.3,1.79,1.52,964,Strength
50,Male,90,1.7,0.81,497,Cardio
21,Female,60,1.7,1.97,1212,Strength
50,Male,51.5,1.71,1.48,1136,Yoga
31,Female,63.1,1.64,1.54,962,Cardio
38,Male,91.5,1.77,0.8,616,Yoga
37,Male,48.7,1.67,1.39,1009,Yoga
25,Female,57.8,1.56,1.35,1053,Yoga
24,Female,42,1.75,0.83,598,Strength
20,Male,128.4,1.92,0.63,502,Cardio
34,Female,74.2,1.57,1.47,1161,Cardio
50,Male,89.6,1.68,1.79,1232,Cardio
29,Male,125.9,2,1.36,1137,Strength
39,Male,105.5,1.99,0.81,593,HIIT
39,Male,93.4,1.7,1.1,938,Strength
47,Male,82.1,1.84,1.37,922,Strength
55,Female,42.9,1.69,0.9,567,Yoga
55,Male,128.4,1.68,1.13,923,Cardio
25,Male,112.4,1.96,1.42,1054,Cardio
44,Female,77.7,1.79,1.41,1047,HIIT
44,Male,89.3,1.99,1.4,936,HIIT
51,Female,70.3,1.55,1.4,876,Yoga
38,Female,59.1,1.72,1.07,792,Cardio
47,Female,49.9,1.69,1.48,979,HIIT
50,Male,101.7,1.67,0.53,333,HIIT
45,Male,93,1.91,1.03,729,Cardio
50,Male,87.4,1.6,0.77,465,Strength
22,Female,55.1,1.61,1.62,1166,HIIT
36,Male,123.7,1.69,1.3,987,Cardio
21,Female,61.3,1.57,1.94,1474,HIIT
52,Male,72.3,1.94,1.46,874,Yoga
34,Female,69.2,1.53,1.36,911,HIIT
45,Male,81.4,1.61,1.14,796,Cardio
47,Male,84.8,1.86,1.85,1181,HIIT
46,Male,55.1,1.72,1.43,970,Yoga
23,Female,59,1.78,1.67,1177,Yoga
52,Female,64.9,1.51,1.83,1359,HIIT
58,Male,109.7,1.75,1.01,840,HIIT
54,Male,78.4,1.9,0.81,585,Yoga
41,Female,76.7,1.79,1.4,832,Yoga
46,Female,63.1,1.61,1,684,Strength
48,Female,62.9,1.58,1.98,1105,Strength
52,Male,85.6,1.74,1.84,1321,Yoga
50,Female,66.3,1.57,1.25,742,HIIT
38,Male,61.3,1.97,1.37,1100,Cardio
49,Female,44.1,1.65,1.16,694,HIIT
40,Male,63.8,1.62,1.3,1022,HIIT
50,Female,55.4,1.55,1.85,1016,Strength
20,Female,74.7,1.58,1.04,863,Strength
35,Female,78,1.67,1.13,949,Strength
42,Female,57.5,1.67,1.14,764,Yoga
59,Female,60.7,1.73,1.03,714,Yoga
48,Male,69,1.74,1.48,1223,HIIT
20,Female,75.8,1.78,1.42,944,HIIT
57,Female,75.7,1.63,0.69,407,Cardio
41,Female,71.2,1.64,1.42,939,HIIT
49,Male,85,1.68,1.82,1468,HIIT
39,Female,63.6,1.56,1.22,903,Strength
40,Male,73.2,1.94,0.81,722,Strength
19,Female,48.3,1.52,0.96,653,Strength
44,Female,42.8,1.78,1.49,1066,Strength
59,Male,88.1,1.76,1.35,1123,Strength
19,Female,72.4,1.75,1.2,840,Cardio
43,Male,73.2,1.88,1.17,822,Cardio
34,Male,110.5,1.86,1.42,1086,Cardio
57,Female,46.1,1.76,1.44,842,Strength
50,Male,90.8,1.71,1.07,810,Yoga
26,Female,59.3,1.51,1.7,1096,Strength
56,Female,45.1,1.73,0.83,482,Strength
46,Male,45,1.77,1.48,1187,Cardio
59,Male,89.4,1.62,1.43,885,Strength
43,Male,127.7,1.69,1.14,875,Cardio
52,Male,70.9,1.72,1.31,927,Strength
42,Female,49.2,1.5,1.15,678,HIIT
41,Female,62.3,1.79,1.99,1451,Yoga
30,Male,64.1,1.87,0.64,500,Yoga
24,Female,69.7,1.75,1.41,1029,Cardio
53,Female,56.9,1.59,1.49,1100,HIIT
37,Female,53,1.71,1.13,881,Yoga
18,Female,72.7,1.55,0.84,525,Cardio
25,Male,76.5,1.96,0.67,442,Strength
33,Male,113.6,1.99,1.38,949,Strength
31,Female,62.5,1.62,1.56,1318,HIIT
29,Male,95.2,1.86,0.64,496,Yoga
40,Male,51.7,1.82,0.9,792,Strength
32,Male,105.3,1.67,0.57,448,Cardio
45,Female,71.2,1.68,1.37,888,Strength
51,Female,78.1,1.51,0.92,555,Strength
19,Female,50.6,1.68,1.21,877,Yoga
49,Male,70.2,1.89,0.7,440,Yoga
40,Female,62.6,1.53,1.93,1380,Cardio
39,Female,60.6,1.65,0.92,768,HIIT
42,Male,76.4,1.97,1.14,886,HIIT
39,Female,63.3,1.71,1.88,1175,Strength
39,Female,68.6,1.64,1.33,1024,Cardio
59,Male,123.3,1.88,1.3,1036,HIIT
23,Male,107,1.94,1.35,891,HIIT
32,Male,68.3,1.92,1.42,1289,Strength
54,Female,47.8,1.6,1.19,830,Cardio
50,Female,58.4,1.79,1.6,943,HIIT
25,Female,74.3,1.71,1.43,1123,Yoga
22,Male,106.8,1.82,1,715,Yoga
56,Male,125.5,1.8,1.26,817,Strength
21,Female,55.2,1.55,1.37,1103,Strength
23,Female,71.4,1.72,1.25,1056,Strength
49,Male,77.7,1.61,1.03,806,Strength
47,Male,88.4,1.6,1.86,1160,HIIT
52,Male,104.8,1.99,0.93,598,Cardio
57,Male,82.2,1.69,1.15,882,Strength
33,Female,68.2,1.75,0.85,638,Strength
30,Male,91.4,1.99,1.37,1145,HIIT
59,Female,42.1,1.65,1.22,725,Strength
47,Female,68.7,1.76,1.37,845,Strength
36,Female,47.2,1.74,1.5,1200,Cardio
34,Male,92,1.76,0.73,574,Yoga
36,Male,56.2,1.95,1.09,767,Strength
45,Male,58.4,1.72,1.31,973,HIIT
43,Male,82.9,1.95,1.9,1505,Cardio
54,Female,66.9,1.74,1.24,720,HIIT
43,Male,66.3,1.85,1.18,707,Cardio
40,Male,93.6,1.93,1.38,1192,Cardio
26,Female,64.1,1.5,1.93,1293,Strength
29,Male,86.7,1.62,1.52,1020,Strength
18,Female,62,1.59,1.23,996,Strength
18,Female,58.1,1.61,1.9,1425,Yoga
51,Female,64.9,1.6,1.49,838,Yoga
49,Female,69.3,1.62,1.14,626,HIIT
42,Female,42.7,1.74,1.04,608,Strength
57,Female,51.4,1.63,1.2,724,Yoga
18,Female,67.4,1.6,0.6,492,Strength
33,Female,55.6,1.61,1.77,1301,Yoga
56,Male,125.3,1.86,1,639,Yoga
22,Male,102.1,1.85,1.48,1278,Cardio
39,Male,61.9,1.77,1.32,1205,Strength
46,Male,108.8,1.64,1.4,1171,Strength
20,Female,51.1,1.58,0.5,422,Yoga
29,Male,81.7,1.99,1.45,1005,Strength
43,Female,42.7,1.66,0.73,440,Yoga
33,Male,81.8,1.99,1.59,1198,Strength
54,Male,54.6,1.76,1.28,868,Cardio
39,Male,107.7,1.88,0.72,634,Strength
46,Female,56.9,1.6,0.88,566,Cardio
31,Male,78.8,1.71,1.49,992,HIIT
45,Female,48.2,1.64,1.25,894,Strength
22,Female,50.7,1.59,1.27,883,Strength
47,Male,86.6,1.99,1.98,1500,Strength
22,Male,96.3,1.63,1.35,1203,Cardio
29,Male,80.8,1.98,1.65,1316,Strength
33,Female,58,1.53,1.84,1159,Strength
43,Male,95.9,1.85,1.28,995,Yoga
43,Female,61.5,1.58,1.86,1247,HIIT
38,Female,40.6,1.79,0.62,499,Cardio
56,Male,82.5,1.87,1.51,927,Yoga
53,Male,105.1,1.84,0.69,444,Cardio
50,Female,58.1,1.58,1.93,1042,Yoga
47,Female,61,1.76,1.54,1060,HIIT
54,Female,64.5,1.53,1.74,940,Yoga
40,Male,58.2,1.98,1.43,1085,Cardio
27,Female,69.5,1.76,0.94,569,Strength
22,Male,62.2,1.84,0.51,393,Strength
53,Female,68,1.7,1.06,663,HIIT
51,Female,56.3,1.5,1.43,914,Cardio
48,Male,94.5,1.7,1.01,700,Cardio
27,Female,58,1.79,1.39,994,Cardio
36,Male,84,1.94,1.8,1218,HIIT
49,Male,61,1.87,1.14,739,Strength
18,Female,64.8,1.53,1.98,1396,Yoga
22,Male,45.7,1.77,1.04,795,HIIT
21,Male,80.9,1.9,1.8,1356,Yoga
33,Female,64.1,1.63,1.58,948,Strength
41,Male,67,1.77,1.22,900,HIIT
33,Male,106.5,1.6,1.4,1170,Strength
19,Male,95.1,1.85,1.21,952,Yoga
45,Female,65.5,1.57,0.66,395,Cardio
49,Male,105.7,1.64,1.2,921,Cardio
44,Female,48,1.76,0.88,491,Yoga
37,Female,69.5,1.5,0.69,448,Cardio
41,Male,66.1,1.69,0.77,545,Yoga
29,Male,68,1.7,0.76,627,HIIT
52,Male,50.3,1.78,0.85,555,HIIT
50,Female,69.3,1.68,1.2,729,HIIT
50,Male,86.7,1.63,1.7,1203,Cardio
54,Male,125.9,1.94,1.35,882,Strength
29,Male,88.1,1.93,1.88,1479,Cardio
20,Male,124.3,1.82,1.25,997,Cardio
18,Male,62,1.85,0.88,586,Strength
50,Female,69.7,1.72,1.24,753,Strength
57,Female,60.9,1.52,1.31,926,Strength
27,Male,76.5,1.97,1.13,1025,Strength
46,Male,94.7,1.82,1.47,873,Cardio
30,Male,67.9,1.75,1.25,1155,Yoga
29,Male,121.1,1.87,1.31,937,HIIT
48,Female,71.5,1.64,1.46,1012,Yoga
19,Male,98.6,1.7,0.83,740,Cardio
52,Female,68.2,1.63,1.17,779,Strength
40,Female,57.7,1.69,1.18,920,HIIT
34,Male,124.6,1.63,1.41,1055,HIIT
43,Female,73,1.59,1.31,931,Yoga
25,Female,59.4,1.51,1.62,1304,Cardio
46,Female,52,1.65,0.7,463,Cardio
43,Female,42.2,1.65,1.33,886,Cardio
27,Male,89.3,1.64,1.82,1622,HIIT
43,Male,110,1.76,1.09,658,Yoga
51,Female,66.2,1.58,0.86,499,HIIT
58,Male,58.6,1.66,1.21,964,HIIT
24,Male,51,1.67,0.97,710,Strength
21,Male,101.5,1.95,0.97,699,Yoga
28,Male,114.2,1.87,1.05,959,Strength
46,Male,54.4,1.72,0.91,725,Cardio
53,Female,52.4,1.57,1.34,898,HIIT
