Age,Gender,Weight (kg),Height (m),Session_Duration (hours),Calories_Burned,Workout_Type
42,Male,85.2,1.81,1.54,1151,Yoga
38,Male,83.6,1.74,1.66,1379,Cardio
53,Male,115.4,1.92,1.36,1084,Yoga
27,Male,71.2,1.97,0.74,615,HIIT
54,Female,78.1,1.6,1.1,718,Yoga
26,Female,54.2,1.65,1.07,642,Cardio
41,Female,77.6,1.76,1.27,920,Strength
52,Female,44.1,1.62,1.41,768,HIIT
52,Male,85.5,1.8,1.7,1144,Strength
53,Female,47.8,1.76,1.06,711,HIIT
35,Male,102.5,1.94,0.84,730,Cardio
56,Male,118,1.9,0.66,412,HIIT
49,Male,82.3,1.84,1.29,932,Strength
41,Male,81.6,1.87,1.87,1185,HIIT
40,Male,60.2,1.88,1.22,946,Cardio
49,Female,49.2,1.54,1.28,881,HIIT
54,Female,46.6,1.5,1.38,1025,Strength
29,Female,68.7,1.72,1.08,907,Cardio
30,Female,60.6,1.55,1.3,780,Strength
40,Male,52.1,1.61,0.87,612,HIIT
42,Female,46.6,1.77,0.61,382,Yoga
52,Male,65.5,1.74,1.48,1011,Strength
58,Female,44.2,1.57,1.08,753,HIIT
47,Male,89.1,1.84,1.44,1133,Yoga
34,Male,65.9,1.62,0.81,731,Yoga
37,Female,55.6,1.57,0.97,597,Cardio
42,Male,63.7,1.98,1.37,868,Yoga
39,Male,86.2,1.82,1.96,1725,Strength
30,Female,59.2,1.63,1.85,1304,Strength
36,Male,85.4,1.88,1.98,1492,Yoga
53,Female,68.1,1.55,1.41,831,HIIT
29,Female,60,1.62,0.85,684,Strength
58,Female,74.8,1.69,1.28,933,Strength
36,Male,90.3,1.65,1.38,1199,Cardio
29,Male,86.1,1.65,1.66,1169,HIIT
26,Male,73.7,1.66,0.93,639,Yoga
24,Female,67.7,1.56,1.42,980,HIIT
45,Male,78.3,1.96,1.29,1066,Cardio
31,Female,48.2,1.65,1.1,913,Cardio
48,Female,56.8,1.51,1.37,777,HIIT
36,Male,112.4,1.63,1.02,757,Cardio
33,Female,59,1.67,0.9,558,Cardio
22,Male,98.4,1.88,0.52,386,Cardio
52,Male,66.5,1.6,1.34,796,HIIT
29,Male,106.5,1.81,1.29,1107,Cardio
42,Male,88.4,1.93,1.68,1314,Yoga
38,Male,88.4,1.79,1.74,1321,Yoga
53,Female,53.3,1.74,1.37,962,Strength
40,Female,58.1,1.56,0.61,415,Yoga
33,Female,74.2,1.76,1.15,834,Strength
56,Male,84.6,1.63,1.01,705,HIIT
59,Male,78,1.92,0.72,453,Cardio
56,Male,89,1.68,1.77,1332,Yoga
31,Female,42.7,1.76,1.46,883,Strength
48,Male,83.9,1.82,1.9,1401,HIIT
22,Female,78.7,1.52,1.45,1204,Strength
52,Female,65.9,1.52,1.27,794,Cardio
40,Male,76.9,1.92,1.13,851,Yoga
46,Male,84.3,2,1.83,1467,HIIT
28,Female,62.4,1.6,1.1,710,Strength
35,Male,63.7,1.74,1.03,810,HIIT
29,Female,54.9,1.52,1.48,910,Strength
26,Male,76.4,1.79,1.17,1004,Strength
27,Male,106.4,1.86,1.34,907,Cardio
34,Female,68.4,1.5,1.37,904,Cardio
55,Male,63.5,1.86,1.36,969,Strength
24,Female,59.4,1.5,1.25,825,Yoga
30,Male,113.4,1.91,1.27,957,HIIT
57,Female,61.9,1.52,0.92,592,HIIT
59,Female,70.7,1.68,1.17,637,Cardio
26,Male,111.5,1.9,1.02,937,Yoga
44,Female,72.1,1.66,1.4,958,Strength
19,Male,56.9,1.87,0.61,463,Cardio
22,Male,86.2,1.9,1.91,1345,Strength
46,Male,59.4,1.68,1.16,844,Strength
54,Female,75.6,1.72,0.97,672,Cardio
55,Female,76.3,1.73,1.08,768,Yoga
36,Male,95.8,1.86,1.37,972,HIIT
25,Male,120.6,1.83,1.04,686,Cardio
18,Female,65.3,1.55,1.42,1143,Yoga
39,Male,85.3,1.89,0.77,593,Strength
34,Male,68,1.68,0.67,472,Cardio
24,Female,52.6,1.57,1.29,1071,HIIT
42,Male,63.3,1.77,1.32,876,HIIT
21,Female,76.3,1.65,1.14,878,Strength
53,Male,61,1.63,0.54,331,Cardio
23,Female,67.8,1.61,1.34,1072,HIIT
48,Male,114.9,1.86,1.36,949,Cardio
36,Male,88,1.71,1.87,1646,HIIT
56,Female,67.7,1.58,1.45,927,Strength
44,Male,124.8,1.85,1.35,842,Strength
27,Female,53,1.58,1.26,895,Cardio
43,Male,61.2,1.88,1.03,831,Yoga
36,Female,48.7,1.68,1.23,886,Yoga
56,Female,50.6,1.7,1.29,848,Strength
20,Female,72.6,1.73,1.27,1016,HIIT
30,Female,70.4,1.56,1.03,644,Yoga
45,Male,52.5,1.88,1.08,818,Strength
37,Male,76.3,1.77,1.36,957,HIIT
45,Female,41.2,1.58,1.47,1111,HIIT
25,Female,55.3,1.76,1.56,1186,Yoga
58,Female,49.7,1.67,1.38,776,Strength
56,Male,48.3,1.87,0.68,525,HIIT
18,Male,83.2,1.96,1.83,1510,HIIT
20,Male,120.5,1.73,1.01,850,Cardio
30,Male,121.6,2,1.24,1091,Cardio
45,Female,73,1.75,1.14,759,Yoga
42,Female,57.5,1.67,1.76,1053,Cardio
50,Female,42.7,1.53,1.41,983,Strength
55,Male,129.9,1.73,0.69,529,Yoga
23,Male,108.6,1.92,0.89,656,Yoga
49,Male,88.6,2,1.83,1150,Cardio
38,Female,49.7,1.51,1.25,906,HIIT
33,Female,56.4,1.54,1.06,822,Strength
38,Male,46.9,1.74,1.03,946,Strength
28,Female,71.3,1.67,1.46,1022,Strength
54,Male,71.6,1.86,1.14,830,Yoga
53,Male,82.3,1.61,1.87,1139,Strength
52,Female,70.6,1.69,1.36,826,HIIT
36,Male,109.8,1.62,0.84,651,HIIT
37,Female,73.5,1.69,0.54,354,Cardio
35,Male,85.6,1.85,1.78,1322,Strength
58,Female,74.6,1.68,1.03,737,Yoga
31,Female,63.2,1.8,0.59,463,Cardio
32,Female,62.6,1.63,1.67,1344,HIIT
48,Male,87.1,1.76,1.81,1398,Strength
18,Male,82.3,1.84,1.73,1408,HIIT
20,Female,64.3,1.78,1.71,1171,Cardio
33,Female,53.7,1.66,1.25,806,HIIT
40,Male,63,2,1.42,1257,Strength
28,Male,128.4,1.86,1.06,921,Strength
29,Male,88,1.89,1.75,1319,Cardio
27,Female,63.7,1.52,1.19,714,Strength
49,Male,83.7,1.87,1.29,1009,HIIT
33,Male,102.6,1.75,1.4,1078,HIIT
25,Female,77.7,1.55,0.55,330,Yoga
55,Male,87.5,1.88,1.19,789,Yoga
29,Male,87,1.86,1.52,1028,Yoga
41,Male,82.8,1.66,1.97,1355,HIIT
45,Female,65.4,1.68,0.76,441,HIIT
25,Female,47.2,1.71,0.89,632,Cardio
45,Female,58.2,1.7,0.95,684,Yoga
53,Female,73.5,1.55,1.17,806,HIIT
43,Female,55.2,1.73,1.67,1240,Cardio
25,Female,64.4,1.71,1.12,935,HIIT
45,Female,73.5,1.74,1.18,807,Cardio
45,Male,89.6,1.81,1.7,1287,Yoga
54,Male,86.5,1.76,1.48,1158,Yoga
58,Female,46.1,1.67,1.28,743,Yoga
53,Male,68.5,1.97,1.3,894,HIIT
44,Male,94.6,1.84,1.26,748,HIIT
34,Female,54.2,1.52,1.13,746,Cardio
26,Male,47.7,1.77,1.15,759,Strength
50,Male,52.2,1.84,1.38,847,Strength
37,Male,88.8,1.95,1.58,1173,Yoga
30,Male,101,1.68,1.46,1076,Strength
45,Male,118.4,1.95,1.06,881,Yoga
46,Female,47.9,1.72,1.41,933,Cardio
30,Female,51.5,1.74,1.08,810,Strength
52,Female,79.9,1.51,0.75,479,Strength
23,Male,121.3,1.85,0.72,661,Yoga
35,Female,78.9,1.64,1.28,1050,Cardio
22,Male,88.5,1.62,1.88,1675,Strength
42,Male,73.5,1.63,0.52,350,Strength
19,Male,127.9,1.93,1.27,1173,Strength
27,Male,88.5,1.98,1.8,1515,Cardio
47,Female,43.4,1.62,0.51,303,Cardio
22,Female,42.8,1.56,1.47,978,Strength
50,Male,64.5,1.79,1.17,753,Yoga
18,Female,50.7,1.53,1.29,948,Yoga
35,Male,59.2,1.66,1.3,1151,Strength
49,Female,78.9,1.73,1.38,938,Cardio
28,Female,78.7,1.63,1.1,847,Strength
38,Male,68.7,1.92,1.31,1081,Cardio
43,Female,53.1,1.59,0.82,502,Strength
42,Male,64.8,1.65,1.1,904,Cardio
39,Female,50.3,1.61,1.17,749,HIIT
44,Male,102.3,1.63,1.34,856,Yoga
30,Male,62.9,1.92,1.13,789,HIIT
50,Female,56.5,1.6,1.88,1184,Yoga
51,Female,74.6,1.55,0.71,422,Cardio
58,Male,52,1.79,1.12,937,HIIT
52,Female,52.1,1.67,1.5,837,Yoga
18,Female,72.2,1.54,0.97,606,Strength
38,Male,85.8,1.8,1.72,1410,Cardio
23,Male,81.4,1.85,1.6,1320,Cardio
45,Female,50.9,1.65,1.45,887,Strength
34,Male,52,1.78,1.38,987,Strength
22,Male,71,1.93,1.42,1086,Yoga
48,Male,80.6,1.77,1.51,1248,Cardio
22,Female,58.3,1.72,1,640,Yoga
55,Female,63,1.7,1.32,719,Strength
20,Male,111,1.94,1.02,875,Cardio
40,Female,52.6,1.66,1.27,762,Strength
54,Male,116.4,2,1.13,688,Yoga
54,Female,75.6,1.61,1.41,983,Yoga
27,Male,61.6,1.8,1.48,1172,Yoga
27,Male,108,1.8,1.38,926,Cardio
36,Female,59.3,1.75,0.99,634,Strength
34,Male,75.7,1.94,1.18,915,Strength
38,Female,56.3,1.6,1.21,859,Yoga
31,Female,58.2,1.73,1.17,766,Yoga
26,Male,55.7,1.68,1.13,802,Yoga
18,Male,125.9,1.67,1.46,1229,Yoga
30,Female,62.7,1.67,1.02,826,HIIT
21,Male,86.6,1.86,1.37,972,HIIT
18,Male,64.5,1.82,1.2,983,HIIT
57,Male,76.6,1.86,1.14,796,Yoga
49,Male,81.4,1.83,1.98,1225,Yoga
51,Male,60.7,1.71,1.14,954,Strength
45,Female,57.2,1.55,1.67,909,Cardio
48,Female,73,1.59,1.19,798,Strength
25,Male,123.8,1.99,1.13,752,HIIT
56,Male,93.6,1.66,1.37,1024,Strength
43,Male,76.8,1.92,1.24,988,Yoga
51,Female,54.7,1.53,1.11,674,HIIT
20,Male,92.3,1.94,1.14,821,HIIT
29,Female,71.8,1.55,1.2,720,Cardio
18,Female,66.9,1.57,1.07,679,Cardio
22,Female,48.7,1.76,1.37,1144,HIIT
47,Male,66.2,1.71,1.42,1188,HIIT
47,Female,40,1.76,0.8,475,Strength
34,Male,112.4,1.85,1.18,870,HIIT
40,Female,70,1.55,0.85,693,Yoga
32,Male,84,1.74,1.45,1013,Strength
54,Female,43.8,1.65,1.29,749,Yoga
38,Male,123.3,1.62,1.34,1216,Yoga
31,Female,57.9,1.56,1.8,1116,Yoga
19,Male,82.4,1.96,1.9,1300,HIIT
28,Male,84.8,1.79,1.35,1025,Cardio
56,Male,109.6,1.66,1.29,1060,Cardio
55,Male,86.4,1.77,1,777,Yoga
51,Female,63.9,1.8,1.07,626,HIIT
55,Female,70.8,1.62,0.54,394,Strength
51,Male,115.3,1.67,1.38,950,Yoga
35,Female,55.3,1.56,1.71,1188,Strength
47,Male,73.9,1.8,1.36,942,Strength
32,Male,97.3,1.96,1.36,1025,HIIT
44,Female,60.4,1.65,1.27,966,HIIT
51,Male,49.3,1.61,1.36,868,Cardio
55,Male,91.8,1.78,1.44,1091,Cardio
50,Female,73.6,1.55,0.89,581,HIIT
41,Male,47.1,1.78,1.26,929,Yoga
32,Male,65.2,1.62,0.58,408,Cardio
47,Male,87.2,1.64,2,1489,Strength
59,Male,96.7,1.71,0.57,423,Yoga
34,Female,46.9,1.61,1.02,821,Strength
22,Female,72.1,1.62,1.38,849,HIIT
46,Female,62.5,1.54,1.61,906,Strength
21,Male,110.7,1.69,1.06,775,Yoga
27,Male,102.6,1.83,1.41,954,HIIT
34,Female,64.3,1.62,1.76,1276,Yoga
27,Male,80.7,1.61,1.75,1250,Strength
34,Male,115.3,1.81,1.36,1249,Yoga
37,Male,87.8,1.69,1.81,1573,HIIT
41,Male,74.3,1.61,1.06,714,Strength
22,Female,78.5,1.7,1.36,938,Strength
51,Female,77.3,1.58,0.97,733,Cardio
23,Female,64.5,1.7,0.51,319,Cardio
19,Male,72,1.94,1.17,952,Yoga
30,Female,77.9,1.77,1.41,916,Cardio
28,Female,69.6,1.58,1.49,1006,Cardio
40,Male,68.9,1.99,1.16,951,Cardio
33,Male,45.9,1.89,1.45,1148,Cardio
48,Female,68.2,1.69,0.75,537,HIIT
28,Female,79.6,1.59,1.49,968,HIIT
33,Female,53.6,1.52,1.02,643,Cardio
25,Female,57.7,1.58,1.36,986,Yoga
21,Male,74.2,1.93,1.32,1024,HIIT
57,Female,64.4,1.56,1.52,985,Cardio
21,Female,54.9,1.78,0.55,380,HIIT
42,Male,50.3,1.64,0.63,468,Strength
20,Female,46.5,1.68,0.91,660,HIIT
49,Male,57.8,1.99,0.93,741,HIIT
20,Male,83,1.8,0.79,695,Yoga
44,Male,82.5,1.79,1.51,1159,HIIT
46,Female,66.5,1.73,1.11,709,Yoga
49,Female,70.2,1.67,0.93,695,Strength
36,Male,121.9,1.93,1.49,1082,Cardio
38,Female,70.3,1.52,1.19,857,Yoga
22,Female,40.3,1.56,1.45,877,HIIT
35,Male,101.4,1.76,0.84,559,HIIT
45,Male,79.2,1.95,1.47,982,Yoga
59,Female,75.8,1.77,1.46,841,Strength
39,Male,71.7,1.88,0.55,445,Cardio
38,Female,57.7,1.56,1.64,1082,HIIT
23,Female,47.4,1.6,0.76,585,Strength
18,Female,57.2,1.75,1.29,1032,Cardio
22,Female,44.8,1.72,1.48,977,Cardio
58,Male,90.2,1.72,0.9,668,HIIT
29,Male,84.9,1.72,1.79,1378,Yoga
43,Male,95.7,1.77,1.08,807,HIIT
51,Male,59,1.65,1.22,924,HIIT
31,Female,60.5,1.77,1.72,1092,HIIT
43,Female,53.8,1.72,1.03,742,Strength
44,Male,86.6,1.97,1.66,1372,Yoga
26,Female,72.8,1.67,1.37,829,Strength
43,Female,66.3,1.77,1.48,1046,HIIT
39,Female,56,1.6,0.89,672,Yoga
47,Male,45.9,1.93,1.29,1015,Cardio
34,Male,88,1.64,1.9,1536,Yoga
43,Male,94,1.79,1.31,1012,HIIT
53,Female,44.7,1.79,1.34,965,Yoga
18,Male,63.2,1.63,0.66,436,Cardio
25,Male,95.6,1.9,1.47,1294,Cardio
52,Male,47.8,1.86,1.01,645,Yoga
32,Male,85.3,1.64,1.77,1197,Cardio
39,Male,59.7,1.83,1.35,1143,Strength
31,Male,70.2,1.98,0.71,504,Yoga
43,Female,72.7,1.8,0.79,590,Cardio
45,Female,50.4,1.79,0.74,433,Cardio
40,Male,81.7,1.74,0.91,666,Yoga
31,Male,49.3,1.62,0.56,484,Strength
41,Female,61.9,1.64,1.93,1138,Yoga
19,Female,49.1,1.68,1.42,1164,Cardio
43,Male,66.5,1.83,1.11,747,Yoga
31,Male,75.5,1.93,0.6,446,Cardio
24,Male,88.2,1.79,1.76,1491,HIIT
20,Male,74.8,1.75,1.33,885,Yoga
40,Female,72.2,1.6,0.87,566,Yoga
35,Male,62.8,1.63,1.41,1241,Cardio
55,Male,84.7,1.79,1.19,719,Cardio
52,Male,116.5,1.69,0.53,388,Cardio
32,Male,77.4,1.92,1.39,1047,Cardio
42,Female,72.9,1.62,1.17,732,Yoga
54,Female,58.4,1.59,1.08,807,Cardio
45,Female,64.3,1.54,1.67,999,Yoga
27,Male,89.3,1.87,1.62,1363,Strength
56,Male,90.2,1.61,1.38,1148,Yoga
34,Female,59,1.62,1.13,847,Cardio
56,Male,58.7,1.86,1.09,858,Cardio
39,Male,127.5,1.82,1.26,1116,Strength
43,Female,68.6,1.52,1.42,875,Yoga
42,Female,56.7,1.53,1.07,717,Strength
34,Female,64.5,1.78,1.33,958,Yoga
30,Female,61.6,1.52,1.78,1228,Cardio
37,Male,75.1,1.82,1.23,859,Yoga
42,Male,79.3,1.93,1.22,888,Cardio
21,Female,72.6,1.68,1.19,756,Cardio
27,Male,76.7,1.7,0.96,792,HIIT
20,Female,44.2,1.61,1.08,659,HIIT
58,Female,56.5,1.7,0.74,406,Yoga
35,Male,100.9,1.63,1.1,986,Cardio
53,Female,55.8,1.55,1.12,711,Strength
39,Male,58.3,1.93,1.35,1010,Cardio
51,Male,48.6,1.77,1.47,1128,Strength
25,Male,81.7,1.95,1.94,1451,Yoga
57,Male,85.6,1.69,1.76,1159,Yoga
36,Female,60,1.72,1.63,1043,Strength
59,Male,126.4,1.69,1.24,915,Strength
58,Female,75.4,1.78,1.05,662,Cardio
54,Female,64.2,1.69,1.69,996,Yoga
23,Female,65.2,1.62,1.37,1069,Cardio
43,Female,70.1,1.66,0.99,673,Strength
51,Male,102.6,1.77,1.21,779,HIIT
23,Male,107.2,1.93,1.15,879,HIIT
54,Female,56.5,1.75,1.76,1220,HIIT
50,Female,61.6,1.75,1.22,911,Strength
39,Male,81.7,1.75,1.32,1198,Cardio
38,Female,76.6,1.58,0.74,481,Yoga
23,Male,116.8,1.79,1,698,Strength
23,Female,60.1,1.59,1.8,1107,HIIT
21,Male,93.7,1.73,1,803,Cardio
47,Female,41.6,1.58,1.03,756,Yoga
28,Female,55.1,1.79,1.99,1300,Yoga
47,Male,127.1,1.76,0.71,552,Strength
48,Female,69.1,1.6,1.34,1001,Strength
41,Female,66.8,1.74,1.34,898,Yoga
26,Male,125.5,1.76,1.15,1031,Yoga
20,Female,71.3,1.58,1.07,893,HIIT
48,Male,129.2,1.61,1.06,876,Yoga
57,Male,96.3,1.86,1.1,795,Strength
54,Female,67.5,1.54,0.72,454,Cardio
53,Female,64.4,1.55,1.77,1107,HIIT
41,Female,64.9,1.57,1.04,576,HIIT
48,Female,52.3,1.66,0.74,433,Yoga
23,Female,56.7,1.55,1.38,911,Cardio
19,Female,46.8,1.63,1.35,864,HIIT
37,Female,70.3,1.77,1.01,621,Strength
45,Male,80.8,1.76,1.7,1102,Yoga
28,Female,56,1.5,1.94,1242,Strength
21,Male,101.2,1.84,1.3,944,Yoga
32,Female,56.6,1.57,1.65,1378,HIIT
23,Female,40.9,1.75,0.82,594,Yoga
47,Male,127.8,1.65,0.77,598,Cardio
55,Female,49.3,1.76,1.28,927,Strength
19,Female,64.3,1.63,1.87,1234,Cardio
32,Male,49.3,1.62,1.18,1025,Strength
28,Female,63,1.62,0.68,500,Strength
25,Female,41.1,1.67,1.03,711,Yoga
43,Female,40.5,1.74,1.5,965,HIIT
22,Male,71,1.62,0.91,691,HIIT
23,Female,60.9,1.62,1.59,1336,Cardio
43,Female,64.7,1.66,1.88,1117,Yoga
21,Female,51,1.71,1.07,706,HIIT
36,Female,57.7,1.77,1.65,1213,Strength
37,Male,76.9,1.82,1.49,992,Strength
50,Male,80.5,1.77,1.85,1181,Yoga
37,Female,73.3,1.74,1.03,726,Cardio
29,Female,49,1.57,1.33,878,Yoga
18,Male,114.5,1.97,1.03,725,Cardio
43,Male,81,1.78,1.58,1189,Yoga
31,Female,53.5,1.76,1.22,811,Strength
55,Male,52.1,1.68,0.77,637,Yoga
54,Female,70.1,1.52,0.76,475,HIIT
28,Male,86.9,1.78,1.29,951,HIIT
53,Male,73.4,1.76,1.09,815,Yoga
30,Male,90,1.66,1.32,1104,Cardio
20,Male,85.7,1.92,1.72,1287,Cardio
50,Female,70.4,1.55,0.73,470,Strength
23,Male,57.7,1.71,1.15,942,Strength
27,Male,75.7,1.76,0.68,494,Cardio
22,Female,61.8,1.52,1.83,1200,Yoga
40,Male,80.3,1.76,1.63,1497,Strength
27,Male,104.3,1.68,1.28,950,Cardio
19,Female,65.7,1.58,1.46,883,Cardio
30,Male,120.3,1.96,0.66,494,Yoga
57,Female,51.9,1.57,1.05,713,HIIT
19,Female,59.1,1.57,1.65,1336,Cardio
37,Female,66.9,1.75,1.38,876,Strength
18,Female,66.9,1.75,0.94,573,Yoga
54,Male,78.7,1.66,1.42,921,Yoga
26,Female,62.4,1.61,1.88,1307,Yoga
34,Male,102.1,1.71,0.96,713,HIIT
26,Male,51.9,2,0.75,549,HIIT
28,Male,58.3,2,1.32,980,Strength
32,Male,89.8,1.92,1.93,1783,Strength
41,Male,101.1,1.83,0.79,634,Yoga
55,Male,118.6,1.72,0.77,640,Strength
52,Male,84.8,1.85,1.19,895,Cardio
47,Male,80,1.77,0.72,531,HIIT
48,Male,73.1,1.83,1.05,681,Yoga
22,Male,117.3,1.68,1.24,914,Yoga
31,Female,77.4,1.71,1.26,863,Cardio
28,Female,72.9,1.67,1.13,831,Cardio
26,Female,71.2,1.5,1.15,816,Cardio
51,Male,88.2,1.62,1.56,1027,Cardio
29,Female,75.6,1.8,1.31,976,Yoga
52,Female,57.9,1.56,1.66,1135,HIIT
52,Female,70.6,1.58,1.02,753,HIIT
18,Male,118.6,1.64,0.94,693,Cardio
57,Male,55.7,1.99,1.13,705,Strength
39,Male,102.3,1.94,0.89,656,Yoga
46,Male,72.6,1.87,1.31,1044,HIIT
25,Female,63.8,1.68,0.95,784,Cardio
28,Female,67.3,1.67,0.61,479,Strength
58,Female,59.3,1.58,1.97,1463,Strength
54,Female,70.7,1.57,1.14,836,Cardio
31,Male,86.9,1.69,1.72,1230,Yoga
47,Male,98.2,1.9,0.76,557,HIIT
52,Male,63.6,1.62,1.3,965,Strength
38,Female,45.2,1.68,1.01,727,HIIT
54,Male,117.2,1.62,1.04,736,HIIT
22,Male,107.4,1.74,1.34,1017,Strength
36,Female,59.1,1.78,0.85,514,Cardio
31,Female,53.3,1.64,0.57,402,Strength
43,Male,46.2,1.63,1.18,812,Strength
21,Male,67,1.61,1.32,1104,Yoga
42,Male,86.3,1.77,1.77,1113,HIIT
59,Male,85.5,1.67,1.99,1418,Cardio
42,Male,70.2,1.87,1.38,1127,HIIT
35,Male,127.1,1.62,1.02,718,Strength
57,Female,75.6,1.67,1.05,723,Cardio
25,Female,62.6,1.65,1.2,852,Cardio
56,Female,55.7,1.53,1.91,1066,Cardio
57,Male,96.1,1.74,1.21,862,Cardio
31,Female,76.7,1.62,1.39,883,Yoga
49,Male,57.2,1.89,1.14,762,Cardio
55,Male,69.9,1.81,1.2,992,Strength
50,Female,67.9,1.77,1.03,760,Yoga
40,Male,87.9,1.87,1.96,1445,Strength
32,Male,102.8,1.98,1.24,818,Strength
50,Female,51.8,1.5,1.32,838,HIIT
42,Female,57.7,1.57,1.83,1005,Cardio
34,Female,66.5,1.69,0.81,636,Cardio
50,Male,95.4,1.61,1.16,764,Strength
19,Female,69.2,1.6,1.17,907,Cardio
31,Female,66.6,1.67,1.02,699,Yoga
57,Male,83.4,1.65,1.57,1290,HIIT
57,Female,43.8,1.75,1.39,1001,Cardio
56,Female,64.2,1.69,1.99,1227,Cardio
23,Female,44.1,1.62,0.58,354,Yoga
23,Male,87.3,1.91,1.87,1327,HIIT
20,Male,55,1.6,1.12,1035,Yoga
24,Male,87.1,1.74,1.57,1364,Strength
25,Male,66.6,1.61,1.38,1260,Strength
59,Female,60.4,1.76,1.72,929,Cardio
32,Male,126.4,1.83,1.1,883,HIIT
46,Male,88.7,1.63,0.75,542,Strength
